Sample	Population	Red	Green	Area (cm2)	Greenness
S3-1	SantoAntao	159.5184	178.1556	1.2710646	1.127635627
S3-100	SantoAntao	132.8527	149.58065	0.762482273	1.126120521
S3-11	SantoAntao	154.90385	169.21695	0.872805516	1.092402748
S3-12	SantoAntao	159.9158	174.4747	0.879847425	1.120096248
S3-2	SantoAntao	147.1522	163.2832	1.313120446	1.112192615
S3-3	SantoAntao	148.96655	162.69075	1.376693237	1.117004631
S3-4	SantoAntao	161.2559	180.5066	1.222162453	1.123127898
S3-5	SantoAntao	168.6594	184.3706	1.405447699	1.109181929
S4-B2-2	SantoAntao	157.55235	173.0946	1.102841215	1.105311801
S4-B2-4	SantoAntao	153.02125	161.9759	0.547997457	1.072728741
S4-B2-5	SantoAntao	146.0188	166.5881	0.360115409	1.116354255
S4-B2-9	SantoAntao	164.1848	173.0029	0.212822143	1.063070652
S4-B3-14	SantoAntao	146.9689	167.08345	1.035747469	1.137547001
S4-T1-15-1	SantoAntao	153.8415	172.57125	0.983422172	1.121725362
S5-100	SantoAntao	145.33535	158.68335	1.141865128	1.130081393
S5-101	SantoAntao	166.3412	180.70425	0.920827424	1.083619791
S5-102	SantoAntao	163.5183	181.2126	1.680277764	1.109872048
S5-7	SantoAntao	162.5096	176.49485	1.795589026	1.084992585
S5-8	SantoAntao	137.313	157.76405	1.362218201	1.147325883
S5-9	SantoAntao	145.5129	162.9033	1.45444765	1.119447249
S5-S2-15-2	SantoAntao	158.05675	171.6653	0.890019072	1.085326264
S5-S7-15-7	SantoAntao	135.9614	152.07045	1.475671182	1.124908714
S7-B10	SantoAntao	162.0803	180.0007	1.690547215	1.116808429
S7-B100	SantoAntao	165.0369	182.38865	1.285539635	1.094000123
S7-B11	SantoAntao	156.76845	173.3589	1.18587706	1.105795532
S7-B12	SantoAntao	163.7871	180.7783	1.595774855	1.099169426
S7-B15	SantoAntao	159.46085	176.90505	1.773876473	1.093757678
S7-B2	SantoAntao	167.588	185.75835	1.682722872	1.108817794
S7-B20	SantoAntao	153.1736	170.301	1.66697638	1.113771072
S7-B5	SantoAntao	144.733	162.1914	1.719497286	1.120735693
S7-T-3	SantoAntao	175.1921	183.72475	1.141571715	1.099439539
S7-T1	SantoAntao	165.8525	181.1208	1.408675241	1.094523311
S7-T1-15-2	SantoAntao	156.3405	170.5103	1.51684679	1.100522283
S7-T1-15-28	SantoAntao	167.21165	182.7231	1.599687026	1.098351621
S7-T1-15-47	SantoAntao	146.76755	165.5615	0.866937259	1.122311816
S7-T1-15-68	SantoAntao	152.3996	165.0698	1.667563206	1.118029628
S7-T1-15-70	SantoAntao	167.9795	186.08005	1.484669177	1.107766037
S7-T1-15-80	SantoAntao	168.8518	185.32635	1.811824539	1.104511031
S7-T1-15-81	SantoAntao	171.58995	187.17265	1.907868355	1.091040146
S7-T1-15-85	SantoAntao	158.81895	180.31435	1.701892513	1.119542878
S7-T100	SantoAntao	160.36455	177.89405	1.192332143	1.104498361
S7-T2	SantoAntao	152.9564	171.87015	1.682625067	1.127948019
S8-B100	SantoAntao	142.66135	160.15325	1.124749376	1.12259367
S8-B9	SantoAntao	135.4453	155.1303	1.008753484	1.145770015
S8-T1-15-23	SantoAntao	163.36245	178.58755	0.941366326	1.085221382
S9-1	SantoAntao	142.0137	153.8438	1.329942784	1.107466403
SCratera	SantoAntao	145.2588	161.93895	1.020979021	1.11667555
Set-0	Morocco	153.2884	169.19795	1.645361631	1.11169006
Set-6	Morocco	147.7299	165.8882	1.278693335	1.146900917
Tah-0	Morocco	146.9481	160.9231	0.455963617	1.095101604
Tah-4	Morocco	157.57165	176.9642	1.972419189	1.126143063
Taz-0	Morocco	156.2006	171.85245	1.598317766	1.112009405
Taz-11	Morocco	133.82365	153.23575	1.49249352	1.145359851
Taz-16	Morocco	164.109	183.1884	1.807618954	1.116260534
Taz-18	Morocco	156.133	172.3358	1.025184606	1.103775627
Til-2	Morocco	156.8159	176.5568	1.580126168	1.134149588
Tiz-0	Morocco	150.4796	156.9293	0.263875984	1.049720361
Tiz-7	Morocco	125.0437	145.361	1.192332143	1.162476002
Zin-4	Morocco	155.1042	170.2609	0.944300455	1.108186063
Zin-9	Morocco	152.15405	163.4289	0.95124456	1.111899368
ifr-3	Morocco	133.81425	153.77615	1.096190523	1.149859115
